98.772,79.78,72.256,48.339,45.171,47.644
47.754,25.145,34.722,39.345,49.783,99.789
33.518,36.828,3.435,35.054,75.984,6.564
50.982,67.132,4.756,3.912,48.743,51.776
11.947,13.634,38.42,27.474,17.257,54.933
17.637,71.542,80.828,52.276,73.789,7.709
74.423,10.617,67.392,7.095,83.039,4.536
47.985,5.872,6.254,20.187,71.462,86.946
36.888,16.888,52.296,15.608,41.517,75.444
10.883,46.325,84.348,63.384,18.322,75.077
51.632,15.525,50.128,48.389,36.143,3.644
58.896,20.855,63.25,13.362,9.647,31.037
32.85,8.734,37.296,73.407,19.113,83.7
44.572,20.64,97.454,94.736,57.331,1.099
16.794,9.471,54.075,52.201,31.479,61.648
51.978,77.037,96.067,87.987,60.932,90.337
18.547,71.279,29.457,65.239,99.179,43.883
29.556,52.817,29.764,14.073,9.876,80.012
80.912,21.527,90.682,59.873,24.9,3.91
20.406,80.635,23.178,26.687,23.709,52.672
63.195,87.374,39.869,30.427,73.098,99.151
4.096,85.76,43.82,57.025,9.235,30.609
66.926,97.671,93.296,90.278,25.698,56.932
24.566,52.572,30.957,33.461,42.809,13.221
32.169,70.123,36.791,90.872,80.068,62.334
85.003,10.926,81.178,95.619,33.612,23.312
79.16,34.549,41.192,68.959,47.458,85.67
56.566,65.89,8.161,59.722,4.694,85.087
2.691,89.979,56.144,19.598,32.42,29.352
30.939,99.661,89.47,48.803,53.522,31.464
68.745,87.404,37.671,48.718,28.436,61.165
25.526,47.747,98.406,88.57,63.413,13.744
61.942,81.029,79.544,55.845,34.538,29.963
29.234,46.62,13.197,77.724,50.58,97.282
40.87,90.807,59.54,5.45,80.72,46.778
50.836,98.085,91.815,99.999,12.509,57.431
22.482,24.55,45.345,62.934,30.089,64.923
51.396,22.736,67.778,83.411,89.733,55.745
17.976,99.608,27.748,98.686,41.139,72.828
33.36,6.532,14.348,88.235,21.821,77.321
47.615,36.863,94.264,33.041,67.444,62.198
49.628,71.733,7.411,21.112,66.511,89.5
30.696,45.141,54.534,3.109,4.499,5.158
16.347,92.904,7.803,54.753,63.691,12.852
9.628,1.031,60.081,95.602,30.402,17.278
13.203,21.0,9.514,98.172,65.839,95.22
77.077,25.108,52.959,56.453,52.085,1.407
4.593,20.636,51.385,89.678,4.183,65.373
93.66,1.822,90.403,36.379,18.415,17.217
55.41,22.119,61.049,26.212,38.542,83.974
26.048,89.513,24.793,31.423,75.447,61.26
36.086,95.973,67.588,15.622,10.705,96.132
2.109,25.84,95.462,57.386,94.224,13.162
44.535,65.419,72.36,40.794,98.371,20.636
69.775,71.513,21.752,37.565,97.799,22.31
64.992,75.734,70.168,14.384,57.128,62.117
73.081,91.856,36.464,3.687,58.164,37.65
38.583,79.572,62.866,70.067,21.44,94.597
84.919,61.591,52.748,16.454,39.026,86.376
35.205,11.364,66.628,20.688,14.084,61.513
7.657,56.448,3.328,69.877,37.774,16.728
46.818,14.013,52.819,49.457,31.391,75.939
15.401,85.34,81.358,52.221,88.522,1.403
41.743,33.322,82.026,33.493,94.338,1.098
10.689,56.79,46.717,99.592,64.703,72.392
72.805,36.734,82.617,57.861,27.806,94.14
15.045,15.095,62.545,22.094,1.858,96.076
15.675,17.293,91.397,61.231,37.505,76.127
95.146,56.6,69.071,59.078,36.372,93.573
22.485,29.238,98.534,11.39,53.058,28.851
97.236,8.475,45.042,61.964,25.925,91.753
2.466,45.964,47.214,71.95,95.724,78.698
54.414,7.493,55.825,28.746,31.971,99.097
86.693,93.768,35.916,71.971,56.811,79.879
17.546,34.472,89.627,73.142,89.288,93.338
99.894,54.532,10.8,39.683,11.271,97.448
77.899,4.272,56.415,36.508,92.257,73.802
8.308,54.368,63.709,95.902,51.534,51.17
91.798,92.931,62.357,95.917,29.966,19.82
64.884,87.109,52.557,5.744,67.391,31.54
98.742,14.092,18.809,95.942,88.267,87.849
75.503,81.976,8.131,71.823,91.337,4.04
10.226,75.423,31.693,34.528,28.106,65.988
77.925,63.778,90.311,22.838,48.117,12.951
11.208,2.643,55.568,79.976,16.696,76.984
41.741,25.627,40.641,54.586,81.687,55.727
45.138,73.191,28.074,49.879,15.094,31.34
43.323,92.003,73.447,31.443,69.22,63.708
30.031,54.428,23.244,87.514,56.145,22.417
67.727,3.321,60.414,88.469,5.629,50.929
74.001,96.145,72.821,9.379,3.724,93.173
62.368,52.735,49.555,57.907,78.175,58.605
16.945,14.161,50.225,60.465,76.643,86.614
94.686,27.285,6.636,6.693,29.747,7.229
88.784,25.803,77.275,4.42,28.451,41.603
20.629,84.934,49.727,69.451,96.3,7.939
63.156,92.948,32.457,80.869,28.825,20.072
53.18,37.194,89.061,39.842,81.113,67.128
56.886,97.922,6.858,1.199,46.29,96.989
51.481,38.177,94.119,4.954,10.686,25.702
44.069,82.754,24.226,41.746,34.751,79.986
